File Size (bytes),AES Enc (s),RSA Enc (s),RSA Dec (s),AES Dec (s)
712191,0.0009373000357300043,0.0010303999297320843,0.0022852999391034245,0.0008459000382572412
2244248,0.005770200048573315,0.0007581999525427818,0.0022600999800488353,0.006896100006997585
11165823,0.015194599982351065,0.000992799992673099,0.0013601999962702394,0.018336699926294386
17270815,0.028058200026862323,0.0006543999770656228,0.001108399941585958,0.026297800010070205
49352493,0.050555799971334636,0.0005611999658867717,0.001070300000719726,0.061407600063830614
2244248,0.005470400000149311,0.0034011999998710962,0.0017081000000871427,0.004560699999956341
2244248,0.0032568999999966763,0.0016271000001779612,0.0019667999999910535,0.003478800000038973
2244248,0.004512799999929484,0.0005160999999134219,0.000872099999924103,0.007833199999822682
2244248,0.004424199999903067,0.000964299999850482,0.0025066000002880173,0.0035640999999486667
17270815,0.021722500000123546,0.0009727000001475972,0.0008770999997977924,0.028927199999998265
11165823,0.02226380000001882,0.0007822000002306595,0.0007675000001654553,0.01811679999991611
11165823,0.01963369999975839,0.0009568000000399479,0.0008344000002580287,0.021279799999774696
11165823,0.019306499999856896,0.0008166000002347573,0.0007951000002321962,0.017676299999948242
49352493,0.07343839999975899,0.0011715999999069027,0.0007660999999643536,0.07234779999998864
49352493,0.07406169999740086,0.0009791000047698617,0.0008524000004399568,0.07203640000079758
17270815,0.023834099993109703,0.0009488999785389751,0.0009229000133927912,0.026139599998714402
17270815,0.02731909998692572,0.0009000000136438757,0.0010102999804075807,0.025288999982876703
2244248,0.003159100015182048,0.0007624999852851033,0.0019703999860212207,0.0032509999873582274
2244248,0.0030962000018917024,0.0008455000061076134,0.00074819999281317,0.0033427999878767878
