Mode,File Size (bytes),Upload Time,Download Time,Crypto Time,End-to-End Time,Crypto Percentage (%)
FULL,712191,1.4895618000009563,0.7121204333379865,0.009173399996749746,2.2232989333278965,0.4126030854078062
FULL,2244248,3.232869366668941,1.9768521333414053,0.016177633331002046,5.2544595999934245,0.3078838655648297
FULL,3151335,7.123032966667476,2.8275567666617767,0.021960566674048703,10.004749499998676,0.21950141454367858
FULL,5299516,10.281933633329269,5.233932100003585,0.04293443332911314,15.634701399996024,0.27460987089349886
FULL,11165823,15.96700749999824,10.308064700002433,0.07220149999678445,26.455581600001704,0.2729159429886803
FULL,17270815,25.45370540000052,16.18123310000131,0.15287736666505225,41.97365819999444,0.36422216509370753
FULL,21200000,27.591631900000113,18.993774199994125,0.24954516667154772,47.21026440000181,0.5285824382536992
FULL,42100000,40.857130566670094,37.23425480000151,0.5071788999969916,79.34915186666574,0.6391736875136727
FULL,49352493,43.627498899998805,41.31804763333154,0.6141704666612592,86.25864436666598,0.7120103395673127
FULL,105689149,92.6016542333382,109.02602466666333,1.5519330333384762,205.10385216666327,0.7566571846136788
