Mode,File Size (bytes),AES Enc,RSA Enc,Sign,RSA Dec,AES Dec,Hash,Verify,Crypto Time,Overhead (%)
AES_ONLY,712191,0.0013673666641504194,0.0,0.0,0.0,0.0011246999929426238,0.0,0.0,0.005922333337366581,0.0
AES_RSA,712191,0.001236499995381261,0.0003444666654104367,0.0,0.0009007333331586173,0.0010337999992771074,0.0,0.0,0.004061166662722826,30.661140061023858
FULL,712191,0.0016737000017504518,0.00013373333301084736,0.001319399996039768,0.002376966663481047,0.0015404666676962127,0.001867733337955239,0.0003272666654083878,0.009173399996749746,65.68011858231473
AES_ONLY,2244248,0.003950166661525145,0.0,0.0,0.0,0.0032818999995167055,0.0,0.0,0.010491500002293227,0.0
AES_RSA,2244248,0.0030669000067670518,0.0002889666648115963,0.0,0.000893299996581239,0.003067766665481031,0.0,0.0,0.0077203333397240686,15.31367376729216
FULL,2244248,0.004301333329446304,0.00014370000280905515,0.0012179333377086248,0.00241473333153408,0.005400833334230508,0.0038661999957791218,0.0002878333325497806,0.016177633331002046,49.020767365169675
AES_ONLY,3151335,0.005738966661738232,0.0,0.0,0.0,0.014338266667133817,0.0,0.0,0.020307600003434345,0.0
AES_RSA,3151335,0.005612366667871053,0.0003167000007427608,0.0,0.0010078333337636043,0.006499833335207465,0.0,0.0,0.013862566663495576,9.554748169357921
FULL,3151335,0.006042366667922276,0.00016896667269368967,0.0012211000042346616,0.001813133339358804,0.0073367666627746075,0.005056900001363829,0.00020670000230893493,0.021960566674048703,38.554560752593545
AES_ONLY,5299516,0.009482700004203556,0.0,0.0,0.0,0.010809666666318662,0.0,0.0,0.02697933333305021,0.0
AES_RSA,5299516,0.009253733330600275,0.0003755999981270482,0.0,0.0009258666686946526,0.010934966664838916,0.0,0.0,0.021626500000517506,6.017925539456489
FULL,5299516,0.012007066664712815,0.00018763333112777522,0.001962199996341951,0.0018764333314417552,0.016509200000048924,0.010429533334293714,0.00023646666765368232,0.04293443332911314,34.220241241419366
AES_ONLY,11165823,0.02190583333140239,0.0,0.0,0.0,0.024275833333376795,0.0,0.0,0.07010089999918516,0.0
AES_RSA,11165823,0.021692366664259072,0.0003225999971618876,0.0,0.0009026666666613892,0.025228833333433915,0.0,0.0,0.051626233330656156,2.3733411964721074
FULL,11165823,0.022482999993371777,0.0001527333321670691,0.0016284000060598676,0.000988499998735885,0.028465966669803795,0.01817773333459627,0.0001762999988083417,0.07220149999678445,29.256548231419277
AES_ONLY,17270815,0.02955373333922277,0.0,0.0,0.0,0.03801213334372733,0.0,0.0,0.0869668999997278,0.0
AES_RSA,17270815,0.03130843333201483,0.00031536666695804644,0.0,0.000912333334175249,0.03543593333354996,0.0,0.0,0.08258110000072823,1.4866597818659102
FULL,17270815,0.048647633331711404,0.00021906667097937316,0.0029724333338284246,0.002018099999986589,0.036227466664665066,0.03441123332595453,0.0015368333309500788,0.15287736666505225,26.92201439593977
AES_ONLY,21200000,0.0471127333342641,0.0,0.0,0.0,0.03474389999852671,0.0,0.0,0.17685069999909805,0.0
AES_RSA,21200000,0.040043666662919954,0.0003452333330642432,0.0,0.0010342000023229048,0.03634120000545712,0.0,0.0,0.14974529999502315,0.921186398126014
FULL,21200000,0.04801400000481711,0.00024143333333389214,0.0028738333348883316,0.0025598000017149993,0.04113883333047852,0.04908306666766293,0.00047883333172649145,0.24954516667154772,22.135057715635803
AES_ONLY,42100000,0.06984176666689261,0.0,0.0,0.0,0.06667899999592919,0.0,0.0,0.5667200000025332,0.0
AES_RSA,42100000,0.06782286666081443,0.0003167333294792722,0.0,0.0011059000050105776,0.05195299999710793,0.0,0.0,0.5151915666695762,0.27613676669561465
FULL,42100000,0.06912206666796313,0.00014426666893996298,0.0012483999986822407,0.0005719999947662776,0.07388346666994039,0.05418359999506114,0.0001476666705760484,0.5071788999969916,11.099817703054995
AES_ONLY,49352493,0.06859243333747145,0.0,0.0,0.0,0.09238649999800448,0.0,0.0,0.548206366666515,0.0
AES_RSA,49352493,0.05630179999570828,0.0002791666629491374,0.0,0.0008626666676718742,0.06797856666768591,0.0,0.0,0.46580856666453957,0.24512931112392428
FULL,49352493,0.06610236666650356,0.00015843333191393563,0.0010067333302383001,0.0007671333441976458,0.09045193334168289,0.058385600006052606,0.0001750999993722265,0.6141704666612592,9.849545573336586
AES_ONLY,105689149,0.12792249999862784,0.0,0.0,0.0,0.1638888000015868,0.0,0.0,1.2241196999966633,0.0
AES_RSA,105689149,0.12403800000417202,0.00028839999383005005,0.0,0.0007894666681143766,0.1430779000026329,0.0,0.0,1.1574981666635722,0.09312037746472816
FULL,105689149,0.14049306666614333,0.00013023333061331263,0.0011552333307918161,0.0007447666624405732,0.2898064666709009,0.19054929999886858,0.00018553332968925437,1.5519330333384762,12.420965499892258
